"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",954.770931565544,4.36835864527067,0.237126791796417,18.4220374769844,8.74489804716936e-76,1.3244148092438e-71
"ENSG00000179094",743.252688449073,2.86388865850473,0.175569314419446,16.312011401165,8.10783556895323e-60,6.13965848458983e-56
"ENSG00000116584",2277.91345410747,-1.0347007724444,0.0650984360864208,-15.8944029173111,6.92854594217284e-57,3.49776094314025e-53
"ENSG00000189221",2383.75370672631,3.34154402446202,0.212405785252044,15.7318880015292,9.14432590595713e-56,3.46227039614302e-52
"ENSG00000120129",3440.70375496308,2.9652108028191,0.203695128555861,14.5571021940563,5.26424315865897e-48,1.5945392527578e-44
"ENSG00000148175",13493.9203682606,1.42716828092125,0.100389041283296,14.2163752405385,7.25127847826521e-46,1.83034354255544e-42
"ENSG00000178695",2685.40973562001,-2.48906893759147,0.178066074434701,-13.9783445302168,2.11347084868721e-44,4.57264514333825e-41
"ENSG00000109906",439.541520915421,5.92760001886974,0.428136869479246,13.8451052488884,1.3618113948211e-43,2.5780791968207e-40
"ENSG00000134686",2933.64246142684,1.43948999773361,0.105851508732037,13.5991448301193,4.05142856409804e-42,6.81765395591831e-39
"ENSG00000101347",14134.9917673153,3.85041431110557,0.284873520233715,13.516223999853,1.2545165338812e-41,1.89996529056307e-38
"ENSG00000096060",2630.23049426017,3.94505193427764,0.292884106018897,13.4696689004459,2.35921552463747e-41,3.24821082914859e-38
"ENSG00000166741",7542.25286980186,2.21959060728288,0.166737386682862,13.3118951390584,1.97410002803927e-40,2.49147874372123e-37
"ENSG00000125148",3695.87946177106,2.1985635708861,0.167008739398449,13.1643624088485,1.40720537833231e-39,1.63939426575715e-36
"ENSG00000162614",5646.18313812309,1.97114016629128,0.150213844094886,13.1222270368513,2.45609603402342e-39,2.65696960252034e-36
"ENSG00000106976",989.046833637733,-1.85017141617636,0.147802596310388,-12.5178546410035,5.96250435079505e-36,6.02014189285274e-33
